Latitude	Longitude	Day of year	Export flux	PP	export ratio	Depth	% nitrate remaining	Si:N ratio	% microplankton	% nanoplankton	% picoplankton	log(mesozooplankton biomass)	log(bacteria abundance)	log(macrozooplankton abundance)	Reference	DOI
78.351	-74.317	194	127.2	2731.2	0.047	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
78.023	-75.847	200	262.8	2472.7	0.106	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
78.023	-75.847	200	328.8	2472.7	0.133	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
77	-72.652	199	127.2	1428.2	0.089	100	NaN	NaN	0.492	0.392	0.116	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.283	-74.388	185	454.8	1305	0.349	100	1.918	1.729	0.454	0.419	0.127	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.283	-74.388	185	544.8	1305	0.417	100	1.918	1.729	0.454	0.419	0.127	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.417	-77.342	189	327.6	1306	0.251	100	0	1.533	0.405	0.456	0.14	NaN	21.84	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.417	-77.342	189	530.4	1306	0.406	100	0	1.533	0.405	0.456	0.14	NaN	21.84	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
78.023	-75.847	245	48	1344.3	0.036	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
76.017	-73.305	243	81.6	782.08	0.104	100	25.789	2.053	0.438	0.431	0.13	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
77	-72.66	248	75.6	885.7	0.085	100	NaN	NaN	0.299	0.536	0.165	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
77	-72.66	248	70.8	885.7	0.08	100	NaN	NaN	0.299	0.536	0.165	NaN	NaN	NaN	Amiel et al. 2002	https://doi.org/10.1016/S0967-0645(02)00185-6
