Station	Lat	Lon	NO2	PO4	NO2NO3	Si	pH	CO2	HCO3	CO3	tcarb	tAlka	chlc3	chlc12	chda	peri	phaeophorba	butan	fuco	neox	prasino	violax	hexano	diadino	allox	diatox	zeax	lutein	bactChla	dvnylChlb	Chlb	chlbtot	dvnylChla	Chla_hplc	chlatot	phaeopha	carot	micro	nano	pico	seaiceconc	moonphase	PAR	Fe	NH4	ssCDOM	chla_ss	chla_int	NPP_arctic	NPP_vgpm	POC	PIC	Okubo	Lyapunov	ResTime	Kd490	acDOM	KdPAR	Zeu	Zmld	Tzeu	Szeu	Chl10m	O2_10m	NO3_10m	flux200m	flux500m	flux1000m	Slopepartsurf	Slopepart200m
1	44.4013	-9.8273																																							0	0.92	32.30898	0.001292765	0.017782107		0.248932622	43.1353			68.13409042	0.000201863	-0.11994	0.075851	10.972222	0.046992	0.024465214	0.101522324	60.02433777	12	15.3154	36.3549	0.076							
2	39.0564	-10.9808																																							0	0.77	37.96601	0.001386658	0.019857132		0.134939209	43.6517					-0.006249	0.044172	2.916667		0.015597832	0.074890737	76.29867935	31	16.6519	36.6246	0.0826							
3	36.72688608	-10.47157215																																							0	0.34	44.6985735	0.001387426	0.019620689		0.09509686	18.6296			37.92914581	0.000124909	-0.127186	0.062208	25.638889															
4	36.5533	-6.5669																																							0	0.15	43.949226	0.001387698	0.022870243	1.166925	0.280799493	22.3062		-1749.131	72.95794296	0.000251951		0.031746	4	0.059238	0.026317092	0.106677467	64.14951324	15	16.1933	36.7551								
5	36.02711525	-4.445357062	0.025625	0.165625	4.17675	2.102875			0.0032	0.00375	0.0731	0.002	0.0086	0.0247	0.00125	0	0.0032	0.00375	0.0731	0.002	0.0049	0.0005	0.00975	0.0059	0.00065	0.0004	0.0031	0	0.0002	0	0.01435	0.01435	0	0.24	0.24	0.0029	0.007	76.73797886	10.48650379	12.77551735	0	0.04	40.2531165	0.001387427	0.017367579		0.130155128	17.62813333			43.23555674	8.77844E-05	-10.41738	0.28453	13.638889	0.032172	0.015219115	0.074268537	79.13714091	45	19.0895	36.9122	0.00323							
6	36.51769337	-3.991589503	0.02825	0.1655625	3.81675	2.0685			0.0052125	0.00395	0.085475	0.002025	0.010775	0.0296375	0.0025125	0	0.0052125	0.00395	0.085475	0.002025	0.0050125	0.000575	0.0139625	0.0068875	0.000875	0.0004875	0.0037125	0.00005	0.0002	0	0.0162	0.0162	0	0.2709125	0.2709125	0.0029125	0.007425	75.45955084	12.29687372	12.24357545	0	0.09	44.2521	0.001383199	0.017879906		3.992484236	55.2985			403.9583893	0.000338158		0	0	1.012225	0.079346644	0.361594383	39.24993134	11	15.9433	37.5501								
7	37.04084	1.945576552	0	0.084	2.02475	1.59025			0	0.0066	0.00665	0.00065	0.00415	0.00495	0	0.00095	0	0.0066	0.00665	0.00065	0	0.00045	0.0127	0.00275	0	0	0.02355	0	0.0005	0	0.0058	0.0058	0	0.0587	0.0587	0	0.0043	19.38985995	33.36409366	47.24604639	0	0.25	31.087229	0.001387777	0.01524472		0.123706834	25.4604		356.9545			-1.3813	0	0		0.015987324	0.070147369	79.04553986	26	15.4374	37.8316	0.0874							
8	38.00496667	3.984583333							0	0.0028	0.00265	0	0.0026	0.002225	0.0004	0.0003	0	0.0028	0.00265	0	0	0.000225	0.00605	0.0024	0	0.000325	0.022625	0	0.00055	0	0.002525	0.002525	0.0047	0.0356	0.0403	0	0.00325	11.94203398	24.87313652	63.1848295	0	0.62	28.27956	0.001387759	0.015063652		0.094997358	22.87095			38.29621887	3.76106E-05	0.575455	0.062714	1.055556	0.031021	0.014008673	0.068354342	85.96214104		15.4709	37.8646	0.0614							
9	39.10455169	5.899002247							0.00395	0.0119	0.00455	0.0012	0.0074	0.01145	0.0011	0.0018	0.00395	0.0119	0.00455	0.0012	0.0006	0.00035	0.03295	0.00275	0.0007	0	0.02285	0	0.0004	0	0.0071	0.0071	0.0335	0.10075	0.13425	0.001	0.00945	10.89140827	56.4811999	32.62739183	0	0.71	34.67009275	0.00138773	0.015086659		0.086668578	25.92965		240.841	36.35252698	7.4043E-05	0.021447	0.190651	0	0.03115	0.011657334	0.052273528	88.29105282	25	14.4442	38.086								
10	40.67053438	2.868595833							0	0.0043	0.001775	0.0004	0.004475	0.00455	0	0	0	0.0043	0.001775	0.0004	0	0.000175	0.01335	0.001425	0	0	0.005425	0	0.000175	0	0.005425	0.005425	0	0.06045	0.06045	0	0.003325	8.045616742	59.34194876	32.6124345	0	0.785	33.32318225	0.001387781	0.012591447		0.129293255	22.42193333			45.97957683	0.000126943	0.063913	0.187437	1.027778	0.03632475	0.015657697	0.071866925	77.19309769	30	14.5758	38.6645	0.0647							
11	41.6679125	2.799070833																																							0	1	32.782772	0.001387775	0.009132409		0.098903261				43.02017593	0.00002		0	0															
