Genome_Id	total_length	N_Fixation_Phylum	Cosmopolitan_Score_Subset_01	Max_Percent_reads	Average_percent_reads_Size_01	Average_percent_reads_Size_02	Average_percent_reads_Size_03	Average_percent_reads_Size_04	Average_percent_reads_subset_01	Portion_Size_01	Portion_Size_02	Portion_Size_03	Portion_Size_04	Portion_ALL_Arctic	Portion_ALL_Atlantic	Portion_ALL_Indian	Portion_ALL_MED	Portion_ALL_Pacific	Portion_ALL_RED	Portion_ALL_Southern	on RAST	Known_population	Of interest	N_Fixation	N_Fixation_Phylum	HBDs	Source	Domain anvio	Phylum gtdbtk	Class gtdbtk	Order gtdbtk	Family gtdbtk	Genus gtdbtk	Species gtdbtk	total_length	num_contigs	N50	GC_content	percent_completionanviov6	percent_redundancyanviov6	Cluster_Size_first_round	Completion_Minus_Red	Redundancy_removal_V1_V2	fastani_ani
TARA_MED_MAG_00014	4390070		21	0.543830357	0.012389845	2.5715E-05	6.23499E-05	0	0.004613459	99.29423365	0.206084472	0.499681883	0	0	5.813085217	0	92.03036026	2.156554518	0	0		Yes					MAG_small_size_fraction	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	AAA164-E04	AAA164-E04	AAA164-E04 sp1	4390070	204	35233	47.86	94.37	2.82	1	91.55	Cluster_112	99.51
TARA_AON_82_MAG_00164	1457330		29	0.47255474	0.010800954	2.60091E-05	5.51398E-05	4.91615E-05	0.004033949	98.80791078	0.237933439	0.504422521	0.449733264	0	24.94059735	0	57.63057116	17.42883149	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	AAA300-D14		1457330	257	6458	38.82	82.73	2.16	1	80.58	Unique	
TARA_AOS_82_MAG_00069	2650815		24	0.288520151	0.008159254	0	7.54547E-05	0	0.003043038	99.08369873	0	0.916301267	0	0	30.31835243	0	57.91487604	11.76677154	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	AAA300-D14	GCA_002710745.1	2650815	318	10719	38.40	94.24	15.11	1	79.14	Unique	98.65
TARA_AOS_82_MAG_00078	1625819		52	0.28794142	0.015590511	0.000130146	0.00023903	1.75335E-05	0.005862499	97.57962432	0.814569533	1.496065803	0.109740344	0	14.49943351	28.63174761	0.620738699	35.52818006	20.71990012	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	AAA300-D14	AAA300-D14 sp1	1625819	317	5418	38.58	82.01	4.32	2	77.70	Unique	97.12
TARA_MED_95_MAG_00249	1486981		48	0.173261476	0.008779732	5.51015E-05	0.000115526	0	0.003291713	98.09362319	0.615634226	1.290742584	0	0	14.06333528	25.10529597	4.087848649	37.99163292	18.75188717	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	AAA300-D14	AAA300-D14 sp1	1486981	220	8 870	38.59	81.69	0.00	1	81.69	Unique	95.81
TARA_ARC_108_MAG_00090	1522064		32	0.401125092	0.016901387	0.001036685	1.47839E-05	2.98409E-05	0.006456792	93.98694491	5.764900898	0.082211675	0.165942516	17.26573812	33.93935137	0	30.37282277	18.42208774	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	AAA536-G10	AAA536-G10		1522064	248	6970	31.16	87.77	2.88	1	84.89	Unique	
TARA_ION_45_MAG_00017	4689048		15	0.318973382	0.002072201	0.000156135	5.79085E-05	2.19716E-05	0.000813562	89.77499342	6.764319778	2.508798963	0.951887843	0	32.43825821	15.32624165	0	36.79449065	15.44100949	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Acidovorax		4689048	623	8877	65.33	98.56	2.16	3	96.40	Unique	95.74
TARA_ION_45_MAG_00045	2475048		3	0.108116587	1.0451E-05	0.000193147	0.000630705	0	0.000179981	1.252663356	23.15073131	75.59660534	0	0	1.342562602	88.53414844	10.12328896	0	0	0		Yes					MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	2475048	443	6109	38.76	94.24	2.88	1	91.37	Unique	98.75
TARA_MED_95_MAG_00297	1516646		13	0.065536641	0.000191428	0.000268781	4.36047E-05	1.46144E-05	0.000130517	36.92471235	51.84536801	8.410941724	2.818977915	0	6.985417645	0	87.07151381	5.943068544	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	1516646	372	3 953	41.89	77.46	0.00	1	77.46	Unique	96.72
TARA_PON_109_MAG_00023	3492895		10	0.02055769	0.000167821	6.55508E-06	0	0	6.3367E-05	96.24084042	3.759159577	0	0	0	5.624646223	3.268742424	0	91.10661135	0	0							MAG_large_size_fractions	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter venetianus	3492895	51	94682	39.00	97.84	0.72	1	97.12	Unique	97.17
TARA_PON_109_MAG_00041	3017209		17	0.000889246	8.96668E-06	0	4.52131E-07	0	3.4278E-06	95.19969837	0	4.800301634	0	0	63.5928224	0.250827749	6.433698179	29.72265167	0	0							MAG_large_size_fractions	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita aquimaris	3017209	24	209931	39.55	94.96	0.00	2	94.96	Cluster_147	97.28
